challenge_id,user_id,team_id,id,ip,provided,type,date
1,6,3,376,103.89.233.254,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 04:14:46.632582
15,9,6,378,103.89.233.254,flag{ONE-FINAL-SHAPE},correct,2026-02-23 04:14:49.395874
1,43,15,384,103.89.233.254,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 04:14:54.381061
16,10,7,388,103.89.233.254,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 04:15:10.183711
21,27,10,391,103.89.233.254,flag{NOT-A-MONSTER-A-SAVIOR},correct,2026-02-23 04:15:15.729740
19,24,8,420,103.89.233.254,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 04:16:28.597734
4,23,12,462,103.89.233.254,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 04:18:31.117851
1,25,10,477,152.57.60.122,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 04:18:53.958026
2,32,15,480,103.89.233.254,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 04:18:54.984766
18,29,13,500,103.89.233.254,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 04:19:27.781280
20,23,12,508,103.89.233.254,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 04:19:43.817036
17,20,8,527,152.57.71.221,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 04:20:21.474237
22,4,2,541,103.89.233.254,flag{CONFIDENT-YOU-ARE-A-COWARD},correct,2026-02-23 04:20:49.652212
4,43,15,542,103.89.233.254,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 04:20:55.844624
19,15,6,543,103.89.233.254,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 04:20:56.389532
2,12,8,549,152.57.71.89,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 04:21:09.620929
1,10,7,561,103.89.233.254,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 04:21:31.197220
17,31,13,563,103.89.233.254,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 04:21:33.508156
23,27,10,576,103.89.233.254,flag{NOBODY-DENIES-MY-THIRST},correct,2026-02-23 04:21:59.986576
20,15,6,577,103.89.233.254,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 04:22:04.423203
3,41,16,579,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 04:22:17.586990
16,31,13,604,103.89.233.254,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 04:23:32.640407
21,15,6,612,103.89.233.254,flag{WORTHLESS-POINTLESS-THING},correct,2026-02-23 04:23:58.803805
20,33,13,639,152.57.50.123,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 04:25:30.135145
19,10,7,657,103.89.233.254,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 04:25:58.728783
4,8,5,663,103.89.233.254,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 04:26:10.387682
11,25,10,713,152.57.60.122,flag{SEPARATE_THE_FLOURISHING},correct,2026-02-23 04:27:39.432035
20,10,7,722,103.89.233.254,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 04:27:49.326007
16,20,8,724,152.57.71.221,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 04:27:50.519167
19,23,12,745,103.89.233.254,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 04:28:22.175583
4,49,16,762,103.89.233.254,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 04:29:04.025195
16,2,2,763,103.89.233.254,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 04:29:05.096617
3,39,17,769,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 04:29:16.570027
4,30,14,822,103.89.233.254,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 04:30:42.914008
19,47,16,831,110.225.34.39,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 04:31:03.764182
16,37,14,851,103.89.233.254,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 04:31:36.965716
3,13,9,887,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 04:32:56.665659
21,34,7,893,103.89.233.254,flag{NOT-A-MONSTER-A-SAVIOR},correct,2026-02-23 04:33:14.276858
23,10,7,895,103.89.233.254,flag{NOBODY-DENIES-MY-THIRST},correct,2026-02-23 04:33:21.246665
20,47,16,905,110.225.34.39,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 04:33:40.865649
17,37,14,912,103.89.233.254,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 04:33:47.668719
11,2,2,927,103.89.233.254,flag{SEPARATE_THE_FLOURISHING},correct,2026-02-23 04:34:18.177670
4,28,10,928,103.89.233.254,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 04:34:19.890019
19,36,14,951,103.89.233.254,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 04:34:57.123252
4,12,8,967,152.57.71.89,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 04:35:11.804420
1,39,17,978,103.89.233.254,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 04:35:23.099721
2,14,5,982,152.57.50.111,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 04:35:25.515356
17,2,2,1094,103.89.233.254,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 04:37:48.874237
21,23,12,1103,103.89.233.254,flag{NOT-A-MONSTER-A-SAVIOR},correct,2026-02-23 04:38:04.021855
19,33,13,1111,152.57.50.123,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 04:38:16.569720
17,10,7,1117,103.89.233.254,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 04:38:39.006756
2,21,11,1154,103.89.233.254,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 04:45:41.091947
24,33,13,1173,103.89.233.254,flag{listen_closely_oh_vengeance_mine},correct,2026-02-23 04:47:00.116459
2,39,17,1184,103.89.233.254,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 04:47:44.126686
17,18,4,1185,103.89.233.254,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 04:47:44.689011
18,50,14,1188,103.89.233.254,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 04:48:13.186070
4,11,4,1194,103.89.233.254,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 04:48:28.978810
4,21,11,1195,103.89.233.254,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 04:48:29.686499
24,20,8,1199,152.57.71.221,flag{listen_closely_oh_vengeance_mine},correct,2026-02-23 04:49:03.906767
23,37,14,1200,103.89.233.254,flag{NOBODY-DENIES-MY-THIRST},correct,2026-02-23 04:49:10.684582
21,2,2,1204,103.89.233.254,flag{NOT-A-MONSTER-A-SAVIOR},correct,2026-02-23 04:49:19.224661
22,26,6,1230,103.89.233.254,flag{WASH-MY-HANDS-WITH-THEIR-BLOOD},correct,2026-02-23 04:50:06.542282
17,9,6,1257,103.89.233.254,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 04:51:03.115252
15,7,4,1259,103.89.233.254,flag{ONE-FINAL-SHAPE},correct,2026-02-23 04:51:11.002567
18,38,17,1278,103.89.233.254,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 04:51:54.113012
4,13,9,1292,103.89.233.254,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 04:52:14.358204
17,38,17,1300,103.89.233.254,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 04:52:38.974990
20,37,14,1336,103.89.233.254,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 04:53:44.641389
20,43,15,1365,103.89.233.254,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 04:54:30.981341
23,23,12,1405,103.89.233.254,flag{NOBODY-DENIES-MY-THIRST},correct,2026-02-23 04:55:29.760925
18,5,2,1418,103.89.233.254,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 04:55:51.352449
23,26,6,1430,103.89.233.254,flag{THE-REGIME-FREED-ME},correct,2026-02-23 04:56:10.818061
17,42,16,1432,103.89.233.254,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 04:56:12.530509
24,34,7,1440,103.89.233.254,flag{listen_closely_oh_vengeance_mine},correct,2026-02-23 04:56:32.622609
17,27,10,1460,103.89.233.254,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 04:57:07.731329
21,43,15,1482,103.89.233.254,flag{NOT-A-MONSTER-A-SAVIOR},correct,2026-02-23 04:57:43.153613
19,8,5,1491,103.89.233.254,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 04:57:56.245400
4,34,7,1513,103.89.233.254,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 04:58:41.458339
22,10,7,1527,103.89.233.254,flag{WASH-MY-HANDS-WITH-THEIR-BLOOD},correct,2026-02-23 04:59:10.847141
4,5,2,1605,103.89.233.254,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 05:00:42.758598
22,18,4,1609,103.89.233.254,flag{WASH-MY-HANDS-WITH-THEIR-BLOOD},correct,2026-02-23 05:00:45.692373
21,14,5,1611,152.57.50.111,flag{NOT-A-MONSTER-A-SAVIOR},correct,2026-02-23 05:00:47.593449
16,7,4,1623,103.89.233.254,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 05:01:06.594661
22,23,12,1633,103.89.233.254,flag{WASH-MY-HANDS-WITH-THEIR-BLOOD},correct,2026-02-23 05:01:15.135060
22,32,15,1655,103.89.233.254,flag{WASH-MY-HANDS-WITH-THEIR-BLOOD},correct,2026-02-23 05:01:45.617278
18,27,10,1664,103.89.233.254,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 05:02:01.276013
22,41,16,1666,103.89.233.254,flag{WASH-MY-HANDS-WITH-THEIR-BLOOD},correct,2026-02-23 05:02:02.852142
22,8,5,1670,103.89.233.254,flag{WASH-MY-HANDS-WITH-THEIR-BLOOD},correct,2026-02-23 05:02:09.034759
15,6,3,1722,103.89.233.254,flag{ONE-FINAL-SHAPE},correct,2026-02-23 05:03:11.333835
23,41,16,1752,103.89.233.254,flag{NOBODY-DENIES-MY-THIRST},correct,2026-02-23 05:03:42.991981
23,8,5,1765,103.89.233.254,flag{NOBODY-DENIES-MY-THIRST},correct,2026-02-23 05:04:01.664397
18,23,12,1786,103.89.233.254,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 05:04:41.278692
2,34,7,1787,103.89.233.254,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 05:04:41.971034
17,23,12,1800,103.89.233.254,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 05:05:07.029416
23,32,15,1821,103.89.233.254,flag{THE-REGIME-FREED-ME},correct,2026-02-23 05:05:23.487451
21,41,16,1836,103.89.233.254,flag{WORTHLESS-POINTLESS-THING},correct,2026-02-23 05:05:51.605156
19,40,17,1860,103.89.233.254,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 05:06:33.194823
22,16,10,1870,152.57.62.111,flag{WASH-MY-HANDS-WITH-THEIR-BLOOD},correct,2026-02-23 05:06:53.561656
18,32,15,1978,103.89.233.254,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 05:09:50.855658
2,33,13,1979,103.89.233.254,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 05:09:51.610203
2,18,4,1989,103.89.233.254,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 05:10:06.521465
18,47,16,2073,110.225.34.39,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 05:12:56.290274
18,6,3,2074,103.89.233.254,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 05:12:57.987818
24,23,12,2094,103.89.233.254,flag{listen_closely_oh_vengeance_mine},correct,2026-02-23 05:13:24.821984
24,8,5,2154,103.89.233.254,flag{listen_closely_oh_vengeance_mine},correct,2026-02-23 05:14:47.651975
24,18,4,2188,103.89.233.254,flag{listen_closely_oh_vengeance_mine},correct,2026-02-23 05:15:39.652834
20,8,5,2203,103.89.233.254,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 05:16:14.883442
11,26,6,2213,103.89.233.254,flag{SEPARATE_THE_FLOURISHING},correct,2026-02-23 05:16:27.094137
24,32,15,2225,103.89.233.254,flag{listen_closely_oh_vengeance_mine},correct,2026-02-23 05:17:19.574692
24,28,10,2247,103.89.233.254,flag{listen_closely_oh_vengeance_mine},correct,2026-02-23 05:18:05.331624
17,6,3,2274,103.89.233.254,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 05:19:27.173601
23,29,13,2299,103.89.233.254,flag{THE-REGIME-FREED-ME},correct,2026-02-23 05:20:24.163462
19,13,9,2324,103.89.233.254,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 05:21:21.766973
19,21,11,2329,103.89.233.254,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 05:21:37.492010
2,23,12,2339,103.89.233.254,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 05:22:29.085877
11,23,12,2362,103.89.233.254,flag{SEPARATE_THE_FLOURISHING},correct,2026-02-23 05:23:34.642578
16,6,3,2389,103.89.233.254,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 05:25:09.947153
19,32,15,2400,103.89.233.254,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 05:25:45.433415
2,16,10,2432,152.57.62.111,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 05:26:43.867994
20,35,11,2446,103.89.233.254,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 05:27:19.187965
10,26,6,2476,103.89.233.254,flag{FIRST_STRIKE},correct,2026-02-23 05:28:21.800259
20,38,17,2479,103.89.233.254,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 05:28:23.452781
24,13,9,2572,103.89.233.254,flag{listen_closely_oh_vengeance_mine},correct,2026-02-23 05:31:42.172679
10,46,7,2585,103.89.233.254,flag{FIRST_STRIKE},correct,2026-02-23 05:32:19.650191
10,32,15,2631,103.89.233.254,flag{FIRST_STRIKE},correct,2026-02-23 05:34:06.022841
21,29,13,2673,103.89.233.254,flag{NOT-A-MONSTER-A-SAVIOR},correct,2026-02-23 05:35:46.306441
10,35,11,2688,103.89.233.254,flag{FIRST_STRIKE},correct,2026-02-23 05:36:00.201494
10,13,9,2695,218.248.46.201,flag{FIRST_STRIKE},correct,2026-02-23 05:36:09.958049
16,40,17,2702,218.248.46.201,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 05:36:20.327675
10,14,5,2717,152.57.63.0,flag{FIRST_STRIKE},correct,2026-02-23 05:37:23.034407
17,32,15,2756,218.248.46.201,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 05:39:15.337200
1,36,14,2808,218.248.46.201,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 05:41:00.189624
10,22,8,2843,103.89.233.254,flag{FIRST_STRIKE},correct,2026-02-23 05:42:40.408460
18,14,5,2852,152.57.63.0,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 05:43:10.191360
24,4,2,2857,218.248.46.201,flag{listen_closely_oh_vengeance_mine},correct,2026-02-23 05:43:21.998175
17,14,5,2872,152.57.63.0,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 05:44:17.847571
18,21,11,2881,218.248.46.201,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 05:44:30.685845
11,32,15,2882,218.248.46.201,flag{SEPARATE_THE_FLOURISHING},correct,2026-02-23 05:44:34.684022
18,13,9,2885,218.248.46.201,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 05:44:39.006544
11,22,8,2896,103.89.233.254,flag{SEPARATE_THE_FLOURISHING},correct,2026-02-23 05:45:12.161950
17,13,9,2898,218.248.46.201,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 05:45:20.243419
16,32,15,2905,218.248.46.201,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 05:45:53.059813
16,14,5,2913,152.57.63.0,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 05:46:14.592612
25,12,8,2920,152.57.71.89,flag{ur_yearns_through_hunger},correct,2026-02-23 05:46:26.447105
16,13,9,2933,218.248.46.201,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 05:46:56.723754
21,6,3,2948,218.248.46.201,flag{NOT-A-MONSTER-A-SAVIOR},correct,2026-02-23 05:47:27.453379
16,28,10,2973,218.248.46.201,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 05:48:17.382002
15,36,14,2976,218.248.46.201,flag{ONE-FINAL-SHAPE},correct,2026-02-23 05:48:20.079834
16,35,11,3031,218.248.46.201,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 05:50:09.339363
17,35,11,3059,218.248.46.201,flag{UNSHAKABLE-IRRATIONAL-HOPE},correct,2026-02-23 05:51:05.894532
22,6,3,3067,218.248.46.201,flag{WASH-MY-HANDS-WITH-THEIR-BLOOD},correct,2026-02-23 05:51:28.854653
24,30,14,3077,103.89.233.254,flag{listen_closely_oh_vengeance_mine},correct,2026-02-23 05:51:57.971070
11,33,13,3084,218.248.46.201,flag{SEPARATE_THE_FLOURISHING},correct,2026-02-23 05:52:16.179683
19,18,4,3100,218.248.46.201,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 05:52:55.446986
20,6,3,3120,218.248.46.201,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 05:53:27.202933
11,46,7,3137,103.89.233.254,flag{SEPARATE_THE_FLOURISHING},correct,2026-02-23 05:53:52.463679
20,18,4,3165,218.248.46.201,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 05:54:30.192925
11,13,9,3175,218.248.46.201,flag{SEPARATE_THE_FLOURISHING},correct,2026-02-23 05:54:55.630742
11,14,5,3188,152.57.63.0,flag{SEPARATE_THE_FLOURISHING},correct,2026-02-23 05:55:44.311556
21,40,17,3199,218.248.46.201,flag{NOT-A-MONSTER-A-SAVIOR},correct,2026-02-23 05:56:37.679474
23,7,4,3219,218.248.46.201,flag{NOBODY-DENIES-MY-THIRST},correct,2026-02-23 05:57:07.826718
27,2,2,3254,218.248.46.201,flag{hidden_in_the_name_itself},correct,2026-02-23 05:58:26.917521
11,35,11,3295,218.248.46.201,flag{SEPARATE_THE_FLOURISHING},correct,2026-02-23 06:00:35.809209
11,18,4,3309,218.248.46.201,flag{SEPARATE_THE_FLOURISHING},correct,2026-02-23 06:01:18.261766
24,35,11,3362,218.248.46.201,flag{listen_closely_oh_vengeance_mine},correct,2026-02-23 06:03:19.456792
11,38,17,3378,218.248.46.201,flag{SEPARATE_THE_FLOURISHING},correct,2026-02-23 06:03:52.850035
4,6,3,3385,218.248.46.201,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 06:04:05.184236
25,8,5,3396,218.248.46.201,flag{ur_yearns_through_hunger},correct,2026-02-23 06:04:28.497333
2,3,2,3411,218.248.46.201,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 06:05:16.944147
24,39,17,3423,218.248.46.201,flag{listen_closely_oh_vengeance_mine},correct,2026-02-23 06:05:38.680544
27,29,13,3452,218.248.46.201,flag{the_witness_writes_in_margins},correct,2026-02-23 06:06:50.332439
4,26,6,3506,218.248.46.201,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 06:08:51.795999
1,13,9,3522,218.248.46.201,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 06:09:59.747049
2,13,9,3535,218.248.46.201,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 06:10:35.660981
2,26,6,3536,218.248.46.201,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 06:10:36.709954
1,26,6,3574,218.248.46.201,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 06:12:18.756564
27,32,15,3575,218.248.46.201,flag{hidden_in_the_name_itself},correct,2026-02-23 06:12:21.858681
27,34,7,3609,218.248.46.201,flag{hidden_in_the_name_itself},correct,2026-02-23 06:13:46.093430
27,16,10,3618,152.57.62.111,flag{hidden_in_the_name_itself},correct,2026-02-23 06:14:25.157449
16,41,16,3620,218.248.46.201,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 06:14:33.444667
2,47,16,3679,218.248.46.201,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 06:17:49.842424
2,30,14,3723,218.248.46.201,flag{ISHTAR-SURFACE-LEVEL-DECEPTION},correct,2026-02-23 06:19:50.009551
4,31,13,3752,218.248.46.201,flag{ISHTAR-TERMINAL-ACCESS},correct,2026-02-23 06:21:41.120978
15,4,2,3782,218.248.46.201,flag{ONE-FINAL-SHAPE},correct,2026-02-23 06:23:03.393336
27,9,6,3819,218.248.46.201,flag{the_witness_writes_in_margins},correct,2026-02-23 06:24:22.231283
27,47,16,3859,218.248.46.201,flag{hidden_in_the_name_itself},correct,2026-02-23 06:25:18.597971
22,33,13,3909,218.248.46.201,flag{WASH-MY-HANDS-WITH-THEIR-BLOOD},correct,2026-02-23 06:27:15.535808
24,47,16,3917,218.248.46.201,flag{listen_closely_oh_vengeance_mine},correct,2026-02-23 06:27:32.542514
27,38,17,3926,218.248.46.201,flag{the_witness_writes_in_margins},correct,2026-02-23 06:28:22.102577
27,18,4,3960,218.248.46.201,flag{hidden_in_the_name_itself},correct,2026-02-23 06:30:40.285292
26,20,8,3984,152.57.67.161,flag{yul_speaks_through_honesty},correct,2026-02-23 06:32:11.166869
14,8,5,4011,218.248.46.201,flag{TWELVE},correct,2026-02-23 06:34:03.899590
18,7,4,4033,218.248.46.201,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 06:35:16.475000
8,2,2,4109,218.248.46.201,flag{APBMCFIJ},correct,2026-02-23 06:39:26.948439
27,12,8,4153,152.57.75.164,flag{hidden_in_the_name_itself},correct,2026-02-23 06:41:36.440071
27,35,11,4194,218.248.46.201,flag{the_witness_writes_in_margins},correct,2026-02-23 06:43:18.676677
14,4,2,4197,218.248.46.201,flag{TWELVE},correct,2026-02-23 06:43:37.063022
26,34,7,4214,218.248.46.201,flag{the_schedule_was_broken},correct,2026-02-23 06:45:16.074555
13,6,3,4224,218.248.46.201,flag{WILL_TO_GO_ON_EXISTING},correct,2026-02-23 06:46:15.986414
1,41,16,4251,218.248.46.201,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 06:47:54.133799
26,40,17,4290,152.57.58.181,flag{yul_speaks_through_honesty},correct,2026-02-23 06:49:20.650977
26,18,4,4299,218.248.46.201,flag{yul_speaks_through_honesty},correct,2026-02-23 06:49:33.407372
26,32,15,4303,218.248.46.201,flag{yul_speaks_through_honesty},correct,2026-02-23 06:49:41.174612
26,16,10,4350,152.57.73.4,flag{the_schedule_was_broken},correct,2026-02-23 06:51:55.947001
9,8,5,4369,218.248.46.201,flag{SYLORIN_ENDURES},correct,2026-02-23 06:52:35.906006
9,4,2,4394,218.248.46.201,flag{SYLORIN_ENDURES},correct,2026-02-23 06:53:31.016425
10,5,2,4434,218.248.46.201,flag{FIRST_STRIKE},correct,2026-02-23 06:55:51.270942
